,Order ID,Order Date,Segment,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Price,Profit Ratio,month
11,CA-2017-167199,2017-01-06,1,42420.0,OFF-FA-10001883,0,7,"Alliance Super-Size Bands, Assorted Sizes",31.0,4,0.0,0.0,7.75,0.0,1
12,CA-2017-167199,2017-01-06,1,42420.0,OFF-PA-10000955,0,0,Southworth 25% Cotton Granite Paper & Envelopes,7.0,1,0.0,3.0,7.0,42.86,1
13,CA-2017-130813,2017-01-06,0,90049.0,OFF-PA-10002005,0,0,Xerox 225,19.0,3,0.0,9.0,6.33,47.37,1
14,CA-2017-105417,2017-01-07,0,77340.0,FUR-FU-10004864,1,8,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77.0,3,60.0,-54.0,25.67,-70.13,1
15,CA-2017-105417,2017-01-07,0,77340.0,OFF-BI-10003708,0,3,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.0,7,80.0,-18.0,1.43,-180.0,1
16,CA-2017-135405,2017-01-09,0,78041.0,OFF-AR-10004078,0,4,Newell 312,9.0,2,20.0,1.0,4.5,11.11,1
17,CA-2017-135405,2017-01-09,0,78041.0,TEC-AC-10001266,2,9,Memorex Micro Travel Drive 8 GB,31.0,3,20.0,10.0,10.33,32.26,1
18,CA-2017-149020,2017-01-10,2,22153.0,FUR-FU-10000965,1,8,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52.0,1,0.0,21.0,52.0,40.38,1
19,CA-2017-149020,2017-01-10,2,22153.0,OFF-LA-10004272,0,1,Avery 482,3.0,1,0.0,1.0,3.0,33.33,1
20,CA-2017-130092,2017-01-11,0,19901.0,FUR-FU-10000010,1,8,"DAX Value U-Channel Document Frames, Easel Back",10.0,2,0.0,3.0,5.0,30.0,1
21,CA-2017-162775,2017-01-13,2,71111.0,OFF-ST-10000025,0,2,Fellowes Stor/Drawer Steel Plus Storage Drawers,573.0,6,0.0,34.0,95.5,5.93,1
22,CA-2017-162775,2017-01-13,2,71111.0,OFF-BI-10004187,0,3,3-ring staple pack,6.0,3,0.0,3.0,2.0,50.0,1
23,CA-2017-157147,2017-01-13,0,94109.0,OFF-AR-10003514,0,4,4009 Highlighters by Sanford,20.0,5,0.0,7.0,4.0,35.0,1
24,CA-2017-118192,2017-01-13,0,43055.0,OFF-BI-10003476,0,3,Avery Metallic Poly Binders,3.0,2,70.0,-3.0,1.5,-100.0,1
25,CA-2017-157147,2017-01-13,0,94109.0,OFF-ST-10000078,0,2,Tennsco 6- and 18-Compartment Lockers,1326.0,5,0.0,239.0,265.2,18.02,1
26,CA-2017-118192,2017-01-13,0,43055.0,OFF-PA-10002947,0,0,Xerox 1923,37.0,7,20.0,13.0,5.29,35.14,1
27,CA-2017-162775,2017-01-13,2,71111.0,OFF-EN-10001990,0,10,Staple envelope,11.0,2,0.0,5.0,5.5,45.45,1
28,CA-2017-109232,2017-01-13,0,29464.0,FUR-CH-10000422,1,5,Global Highback Leather Tilter in Burgundy,546.0,6,0.0,87.0,91.0,15.93,1
29,CA-2017-157147,2017-01-13,0,94109.0,FUR-BO-10003034,1,11,"O'Sullivan Elevations Bookcase, Cherry Finish",334.0,3,15.0,4.0,111.33,1.2,1
30,CA-2017-162775,2017-01-13,2,71111.0,OFF-EN-10001532,0,10,Brown Kraft Recycled Envelopes,51.0,3,0.0,25.0,17.0,49.02,1
31,CA-2017-162775,2017-01-13,2,71111.0,TEC-AC-10003174,2,9,Plantronics S12 Corded Telephone Headset System,647.0,6,0.0,259.0,107.83,40.03,1
32,CA-2017-149524,2017-01-14,2,19140.0,FUR-BO-10003433,1,11,Sauder Cornerstone Collection Library,62.0,4,50.0,-53.0,15.5,-85.48,1
33,CA-2017-103366,2017-01-15,0,30076.0,TEC-AC-10003628,2,9,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150.0,5,0.0,66.0,30.0,44.0,1
34,CA-2017-115791,2017-01-16,0,19134.0,OFF-LA-10001074,0,1,Round Specialty Laser Printer Labels,30.0,3,20.0,10.0,10.0,33.33,1
35,CA-2017-115791,2017-01-16,0,19134.0,FUR-FU-10001095,1,8,DAX Black Cherry Wood-Tone Poster Frame,127.0,6,20.0,29.0,21.17,22.83,1
36,CA-2017-115791,2017-01-16,0,19134.0,TEC-PH-10004614,2,6,AT&T 841000 Phone,124.0,3,40.0,-31.0,41.33,-25.0,1
37,CA-2017-115791,2017-01-16,0,19134.0,OFF-BI-10001575,0,3,GBC Linen Binding Covers,19.0,2,70.0,-14.0,9.5,-73.68,1
38,CA-2017-123477,2017-01-18,2,97477.0,OFF-AP-10000692,0,12,Fellowes Mighty 8 Compact Surge Protector,65.0,4,20.0,6.0,16.25,9.23,1
39,CA-2017-146591,2017-01-19,0,85254.0,OFF-BI-10003676,0,3,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.0,10,70.0,-24.0,3.2,-75.0,1
40,CA-2017-146591,2017-01-19,0,85254.0,OFF-PA-10000659,0,0,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.0,4,20.0,20.0,14.0,35.71,1
41,CA-2017-146591,2017-01-19,0,85254.0,OFF-EN-10002504,0,10,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109.0,5,20.0,37.0,21.8,33.94,1
42,CA-2017-146591,2017-01-19,0,85254.0,FUR-BO-10001972,1,11,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.0,5,70.0,-321.0,36.2,-177.35,1
43,CA-2017-167927,2017-01-20,0,48185.0,FUR-FU-10002268,1,8,Ultra Door Push Plate,15.0,3,0.0,5.0,5.0,33.33,1
44,CA-2017-167927,2017-01-20,0,48185.0,OFF-BI-10004364,0,3,Storex Dura Pro Binders,30.0,5,0.0,13.0,6.0,43.33,1
45,CA-2017-148614,2017-01-20,0,90049.0,OFF-PA-10002893,0,0,"Wirebound Service Call Books, 5 1/2"" x 4""",19.0,2,0.0,9.0,9.5,47.37,1
46,US-2017-147774,2017-01-20,2,37167.0,OFF-BI-10003091,0,3,GBC DocuBind TL200 Manual Binding Machine,67.0,1,70.0,-52.0,67.0,-77.61,1
47,CA-2017-167927,2017-01-20,0,48185.0,OFF-AR-10004456,0,4,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44.0,3,0.0,13.0,14.67,29.55,1
48,US-2017-147627,2017-01-20,0,72401.0,FUR-FU-10003194,1,8,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39.0,4,0.0,12.0,9.75,30.77,1
49,US-2017-147627,2017-01-20,0,72401.0,OFF-AR-10003811,0,4,Newell 327,7.0,3,0.0,2.0,2.33,28.57,1
50,CA-2017-167927,2017-01-20,0,48185.0,OFF-ST-10003123,0,2,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67.0,2,0.0,16.0,33.5,23.88,1
51,US-2017-147627,2017-01-20,0,72401.0,FUR-CH-10002331,1,5,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068.0,3,0.0,224.0,356.0,20.97,1
52,CA-2017-167927,2017-01-20,0,48185.0,OFF-BI-10000605,0,3,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.0,5,0.0,9.0,3.8,47.37,1
53,CA-2017-167927,2017-01-20,0,48185.0,FUR-FU-10002918,1,8,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273.0,3,0.0,30.0,91.0,10.99,1
54,CA-2017-167927,2017-01-20,0,48185.0,OFF-ST-10000760,0,2,Eldon Fold 'N Roll Cart System,14.0,1,0.0,4.0,14.0,28.57,1
55,US-2017-147627,2017-01-20,0,72401.0,OFF-EN-10001539,0,10,Staple envelope,23.0,3,0.0,11.0,7.67,47.83,1
56,US-2017-147627,2017-01-20,0,72401.0,OFF-AR-10002375,0,4,Newell 351,23.0,7,0.0,7.0,3.29,30.43,1
57,CA-2017-148614,2017-01-20,0,90049.0,FUR-FU-10003194,1,8,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.0,2,0.0,6.0,9.5,31.58,1
58,CA-2017-167927,2017-01-20,0,48185.0,OFF-AP-10002311,0,12,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248.0,4,10.0,94.0,62.0,37.9,1
59,US-2017-147627,2017-01-20,0,72401.0,TEC-PH-10001061,2,6,Apple iPhone 5C,700.0,7,0.0,182.0,100.0,26.0,1
60,CA-2017-110422,2017-01-21,0,33180.0,FUR-FU-10001889,1,8,Ultra Door Pull Handle,25.0,3,20.0,4.0,8.33,16.0,1
61,CA-2017-146997,2017-01-23,0,47905.0,OFF-FA-10003467,0,7,"Alliance Big Bands Rubber Bands, 12/Pack",6.0,3,0.0,0.0,2.0,0.0,1
62,CA-2017-102645,2017-01-23,0,89115.0,OFF-PA-10001804,0,0,Xerox 195,40.0,6,0.0,19.0,6.67,47.5,1
63,US-2017-155502,2017-01-26,1,22304.0,OFF-PA-10000380,0,0,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17.0,2,0.0,8.0,8.5,47.06,1
64,CA-2017-167997,2017-01-26,2,57701.0,FUR-BO-10004409,1,11,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142.0,2,0.0,40.0,71.0,28.17,1
65,US-2017-155502,2017-01-26,1,22304.0,TEC-PH-10002103,2,6,Jabra SPEAK 410,188.0,2,0.0,53.0,94.0,28.19,1
66,US-2017-155502,2017-01-26,1,22304.0,FUR-FU-10001847,1,8,Eldon Image Series Black Desk Accessories,12.0,3,0.0,4.0,4.0,33.33,1
67,US-2017-155502,2017-01-26,1,22304.0,TEC-PH-10004833,2,6,Macally Suction Cup Mount,155.0,13,0.0,0.0,11.92,0.0,1
68,US-2017-155502,2017-01-26,1,22304.0,OFF-PA-10003072,0,0,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.0,3,0.0,9.0,6.33,47.37,1
69,US-2017-155502,2017-01-26,1,22304.0,OFF-ST-10004337,0,2,"SAFCO Commercial Wire Shelving, 72h",490.0,8,0.0,0.0,61.25,0.0,1
70,US-2017-155502,2017-01-26,1,22304.0,FUR-FU-10004587,1,8,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63.0,3,0.0,31.0,21.0,49.21,1
71,CA-2017-167997,2017-01-26,2,57701.0,OFF-BI-10001758,0,3,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11.0,2,0.0,5.0,5.5,45.45,1
72,US-2017-117163,2017-01-27,0,92037.0,OFF-ST-10003692,0,2,Recycled Steel Personal File for Hanging File Folders,57.0,1,0.0,14.0,57.0,24.56,1
73,US-2017-117163,2017-01-27,0,92037.0,OFF-AR-10003179,0,4,Dixon Ticonderoga Core-Lock Colored Pencils,36.0,4,0.0,12.0,9.0,33.33,1
74,US-2017-117163,2017-01-27,0,92037.0,FUR-TA-10003469,1,13,Balt Split Level Computer Training Table,333.0,3,20.0,-17.0,111.0,-5.11,1
75,CA-2017-100328,2017-01-28,0,10024.0,OFF-BI-10000343,0,3,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.0,1,20.0,1.0,4.0,25.0,1
76,CA-2017-134103,2017-01-30,0,48234.0,OFF-ST-10000991,0,2,Space Solutions HD Industrial Steel Shelving.,230.0,2,0.0,7.0,115.0,3.04,1
77,CA-2017-134103,2017-01-30,0,48234.0,OFF-PA-10001204,0,0,Xerox 1972,11.0,2,0.0,5.0,5.5,45.45,1
78,CA-2017-115161,2017-01-31,0,92691.0,FUR-BO-10003966,1,11,"Sauder Facets Collection Library, Sky Alder Finish",291.0,2,15.0,3.0,145.5,1.03,1
79,CA-2017-140795,2017-02-01,0,54302.0,TEC-AC-10001432,2,9,Enermax Aurora Lite Keyboard,469.0,6,0.0,206.0,78.17,43.92,2
80,CA-2017-123400,2017-02-02,0,33710.0,OFF-BI-10000666,0,3,Surelock Post Binders,18.0,2,70.0,-12.0,9.0,-66.67,2
81,CA-2017-123400,2017-02-02,0,33710.0,TEC-PH-10002890,2,6,AT&T 17929 Lendline Telephone,181.0,5,20.0,14.0,36.2,7.73,2
82,CA-2017-139857,2017-02-02,1,92037.0,OFF-FA-10001843,0,7,Staples,12.0,5,0.0,6.0,2.4,50.0,2
83,CA-2017-111059,2017-02-03,0,98105.0,OFF-BI-10002827,0,3,Avery Durable Poly Binders,13.0,3,20.0,4.0,4.33,30.77,2
84,CA-2017-111059,2017-02-03,0,98105.0,OFF-BI-10004593,0,3,Ibico Laser Imprintable Binding System Covers,84.0,2,20.0,27.0,42.0,32.14,2
85,CA-2017-107181,2017-02-04,1,92024.0,OFF-BI-10004230,0,3,GBC Recycled Grain Textured Covers,83.0,3,20.0,29.0,27.67,34.94,2
86,CA-2017-107181,2017-02-04,1,92024.0,OFF-PA-10000350,0,0,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.0,4,0.0,16.0,8.5,47.06,2
87,CA-2017-104808,2017-02-04,2,92025.0,OFF-BI-10003676,0,3,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.0,2,20.0,6.0,8.5,35.29,2
88,CA-2017-131905,2017-02-06,2,23320.0,TEC-PH-10001615,2,6,AT&T CL82213,145.0,5,0.0,42.0,29.0,28.97,2
89,CA-2017-131905,2017-02-06,2,23320.0,TEC-PH-10003645,2,6,Aastra 57i VoIP phone,162.0,1,0.0,42.0,162.0,25.93,2
90,CA-2017-131905,2017-02-06,2,23320.0,OFF-LA-10002787,0,1,Avery 480,15.0,4,0.0,7.0,3.75,46.67,2
91,CA-2017-108182,2017-02-06,0,60441.0,OFF-BI-10001196,0,3,"Avery Flip-Chart Easel Binder, Black",9.0,2,80.0,-15.0,4.5,-166.67,2
92,CA-2017-107755,2017-02-07,2,7036.0,TEC-AC-10000710,2,9,Maxell DVD-RAM Discs,115.0,7,0.0,50.0,16.43,43.48,2
93,US-2017-169390,2017-02-07,2,10024.0,OFF-ST-10001558,0,2,Acco Perma 4000 Stacking Storage Drawers,65.0,4,0.0,10.0,16.25,15.38,2
94,CA-2017-125759,2017-02-08,1,89031.0,FUR-FU-10002111,1,8,"Master Caster Door Stop, Large Brown",15.0,2,0.0,6.0,7.5,40.0,2
95,CA-2017-168368,2017-02-11,0,65203.0,OFF-ST-10002583,0,2,Fellowes Neat Ideas Storage Cubes,65.0,2,0.0,3.0,32.5,4.62,2
96,CA-2017-168368,2017-02-11,0,65203.0,FUR-CH-10001146,1,5,"Global Value Mid-Back Manager's Chair, Gray",61.0,1,0.0,15.0,61.0,24.59,2
97,CA-2017-168368,2017-02-11,0,65203.0,OFF-LA-10004853,0,1,Avery 483,15.0,3,0.0,7.0,5.0,46.67,2
98,CA-2017-168368,2017-02-11,0,65203.0,OFF-BI-10004728,0,3,Wilson Jones Turn Tabs Binder Tool for Ring Binders,10.0,2,0.0,4.0,5.0,40.0,2
99,CA-2017-168368,2017-02-11,0,65203.0,FUR-FU-10002298,1,8,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",333.0,3,0.0,53.0,111.0,15.92,2
100,CA-2017-127614,2017-02-11,0,23320.0,OFF-BI-10003291,0,3,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.0,2,0.0,8.0,8.5,47.06,2
101,CA-2017-168368,2017-02-11,0,65203.0,OFF-BI-10004654,0,3,VariCap6 Expandable Binder,52.0,3,0.0,24.0,17.33,46.15,2
102,CA-2017-127614,2017-02-11,0,23320.0,FUR-TA-10003715,1,13,Hon 2111 Invitation Series Corner Table,1256.0,6,0.0,75.0,209.33,5.97,2
103,CA-2017-127614,2017-02-11,0,23320.0,TEC-AC-10001432,2,9,Enermax Aurora Lite Keyboard,234.0,3,0.0,103.0,78.0,44.02,2
104,US-2017-110674,2017-02-12,0,94521.0,FUR-CH-10000225,1,5,"Global Geo Office Task Chair, Gray",130.0,2,20.0,-24.0,65.0,-18.46,2
105,CA-2017-121762,2017-02-14,2,98103.0,OFF-SU-10000157,0,14,Compact Automatic Electric Letter Opener,239.0,2,0.0,5.0,119.5,2.09,2
106,CA-2017-121762,2017-02-14,2,98103.0,OFF-AP-10001293,0,12,Belkin 8 Outlet Surge Protector,82.0,2,0.0,23.0,41.0,28.05,2
107,CA-2017-121762,2017-02-14,2,98103.0,TEC-AC-10000736,2,9,Logitech G600 MMO Gaming Mouse,240.0,3,0.0,86.0,80.0,35.83,2
108,CA-2017-107706,2017-02-14,0,77095.0,OFF-PA-10000466,0,0,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.0,3,20.0,6.0,5.33,37.5,2
109,CA-2017-165568,2017-02-15,2,98105.0,OFF-BI-10001031,0,3,Pressboard Data Binders by Wilson Jones,21.0,5,20.0,7.0,4.2,33.33,2
110,CA-2017-122567,2017-02-16,0,75220.0,OFF-BI-10002012,0,3,Wilson Jones Easy Flow II Sheet Lifters,1.0,3,80.0,-2.0,0.33,-200.0,2
111,CA-2017-122567,2017-02-16,0,75220.0,OFF-AP-10001303,0,12,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",8.0,2,80.0,-14.0,4.0,-175.0,2
112,CA-2017-154165,2017-02-17,0,60653.0,OFF-AR-10003631,0,4,Staples in misc. colors,54.0,14,20.0,9.0,3.86,16.67,2
113,CA-2017-152905,2017-02-18,0,76017.0,OFF-ST-10000321,0,2,Akro Stacking Bins,13.0,2,20.0,-3.0,6.5,-23.08,2
114,US-2017-165589,2017-02-18,0,79424.0,FUR-FU-10002396,1,8,"DAX Copper Panel Document Frame, 5 x 7 Size",25.0,5,60.0,-11.0,5.0,-44.0,2
115,CA-2017-109491,2017-02-20,2,47374.0,TEC-AC-10001284,2,9,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.0,3,0.0,22.0,20.67,35.48,2
116,CA-2017-109491,2017-02-20,2,47374.0,FUR-FU-10000221,1,8,"Master Caster Door Stop, Brown",20.0,4,0.0,7.0,5.0,35.0,2
117,CA-2017-164903,2017-02-20,1,90049.0,OFF-PA-10003363,0,0,Xerox 204,13.0,2,0.0,6.0,6.5,46.15,2
118,CA-2017-165540,2017-02-21,0,60098.0,OFF-BI-10004094,0,3,GBC Standard Plastic Binding Systems Combs,9.0,5,80.0,-14.0,1.8,-155.56,2
119,CA-2017-133354,2017-02-22,0,92553.0,OFF-PA-10001800,0,0,Xerox 220,19.0,3,0.0,9.0,6.33,47.37,2
120,CA-2017-103744,2017-02-23,1,79907.0,OFF-LA-10004425,0,1,Staple-on labels,7.0,3,20.0,2.0,2.33,28.57,2
121,CA-2017-103744,2017-02-23,1,79907.0,OFF-BI-10000320,0,3,GBC Plastic Binding Combs,4.0,3,80.0,-7.0,1.33,-175.0,2
122,US-2017-137680,2017-02-24,0,97504.0,OFF-PA-10000174,0,0,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",33.0,4,20.0,11.0,8.25,33.33,2
123,US-2017-137680,2017-02-24,0,97504.0,OFF-PA-10000069,0,0,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",23.0,3,20.0,8.0,7.67,34.78,2
124,CA-2017-156545,2017-02-27,0,43229.0,OFF-AR-10003560,0,4,Zebra Zazzle Fluorescent Highlighters,19.0,4,20.0,3.0,4.75,15.79,2
125,CA-2017-113880,2017-03-01,1,60126.0,FUR-CH-10000863,1,5,Novimex Swivel Fabric Task Chair,634.0,6,30.0,-172.0,105.67,-27.13,3
126,CA-2017-104269,2017-03-01,0,98115.0,FUR-CH-10004063,1,5,Global Deluxe High-Back Manager's Chair,458.0,2,20.0,51.0,229.0,11.14,3
127,CA-2017-131009,2017-03-01,0,79907.0,FUR-CH-10001270,1,5,Harbour Creations Steel Folding Chair,362.0,6,30.0,0.0,60.33,0.0,3
128,CA-2017-131009,2017-03-01,0,79907.0,OFF-FA-10004395,0,7,Plymouth Boxed Rubber Bands by Plymouth,19.0,5,20.0,-4.0,3.8,-21.05,3
129,US-2017-143707,2017-03-01,1,10035.0,TEC-PH-10003655,2,6,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,6.0,3,0.0,2.0,2.0,33.33,3
130,CA-2017-168312,2017-03-01,0,77036.0,FUR-TA-10001866,1,13,Bevis Round Conference Room Tables and Bases,377.0,3,30.0,-43.0,125.67,-11.41,3
131,CA-2017-168312,2017-03-01,0,77036.0,OFF-ST-10003692,0,2,Recycled Steel Personal File for Hanging File Folders,137.0,3,20.0,9.0,45.67,6.57,3
132,CA-2017-131009,2017-03-01,0,79907.0,OFF-ST-10001469,0,2,Fellowes Bankers Box Recycled Super Stor/Drawer,130.0,3,20.0,-23.0,43.33,-17.69,3
133,CA-2017-113880,2017-03-01,1,60126.0,OFF-PA-10003036,0,0,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.0,3,20.0,6.0,5.67,35.29,3
134,CA-2017-131009,2017-03-01,0,79907.0,FUR-FU-10001095,1,8,DAX Black Cherry Wood-Tone Poster Frame,64.0,6,60.0,-35.0,10.67,-54.69,3
135,CA-2017-107524,2017-03-02,1,10009.0,OFF-PA-10000587,0,0,"Array Parchment Paper, Assorted Colors",36.0,5,0.0,17.0,7.2,47.22,3
136,CA-2017-107524,2017-03-02,1,10009.0,OFF-EN-10001990,0,10,Staple envelope,11.0,2,0.0,5.0,5.5,45.45,3
137,CA-2017-111157,2017-03-02,2,19120.0,TEC-AC-10004353,2,9,Hypercom P1300 Pinpad,151.0,3,20.0,32.0,50.33,21.19,3
138,CA-2017-111157,2017-03-02,2,19120.0,OFF-PA-10000327,0,0,Xerox 1971,3.0,1,20.0,1.0,3.0,33.33,3
139,CA-2017-155852,2017-03-03,0,28403.0,OFF-AR-10003560,0,4,Zebra Zazzle Fluorescent Highlighters,19.0,4,20.0,3.0,4.75,15.79,3
140,US-2017-127978,2017-03-03,2,43229.0,FUR-BO-10001972,1,11,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.0,5,50.0,-200.0,60.4,-66.23,3
141,CA-2017-130421,2017-03-03,0,77095.0,OFF-AP-10002534,0,12,3.6 Cubic Foot Counter Height Office Refrigerator,177.0,3,80.0,-460.0,59.0,-259.89,3
142,CA-2017-105648,2017-03-03,0,92037.0,FUR-TA-10002958,1,13,"Bevis Oval Conference Table, Walnut",626.0,3,20.0,-23.0,208.67,-3.67,3
143,CA-2017-127964,2017-03-03,1,10035.0,TEC-PH-10004700,2,6,PowerGen Dual USB Car Charger,10.0,1,0.0,5.0,10.0,50.0,3
144,CA-2017-127964,2017-03-03,1,10035.0,OFF-BI-10004593,0,3,Ibico Laser Imprintable Binding System Covers,126.0,3,20.0,41.0,42.0,32.54,3
145,US-2017-127978,2017-03-03,2,43229.0,OFF-LA-10000305,0,1,Avery 495,15.0,3,20.0,5.0,5.0,33.33,3
146,US-2017-127978,2017-03-03,2,43229.0,OFF-ST-10002486,0,2,Eldon Shelf Savers Cubes and Bins,45.0,8,20.0,-10.0,5.62,-22.22,3
147,CA-2017-127964,2017-03-03,1,10035.0,OFF-BI-10003429,0,3,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.0,5,20.0,9.0,5.0,36.0,3
148,CA-2017-117016,2017-03-04,0,33063.0,OFF-AR-10001374,0,4,"BIC Brite Liner Highlighters, Chisel Tip",16.0,3,20.0,2.0,5.33,12.5,3
149,CA-2017-116239,2017-03-04,0,29203.0,OFF-ST-10001370,0,2,Sensible Storage WireTech Storage Systems,355.0,5,0.0,18.0,71.0,5.07,3
150,CA-2017-169061,2017-03-05,0,10701.0,OFF-PA-10001878,0,0,Xerox 1891,98.0,2,0.0,46.0,49.0,46.94,3
151,CA-2017-169061,2017-03-05,0,10701.0,OFF-AR-10000588,0,4,Newell 345,60.0,3,0.0,15.0,20.0,25.0,3
152,CA-2017-169061,2017-03-05,0,10701.0,TEC-AC-10002001,2,9,Logitech Wireless Gaming Headset G930,480.0,3,0.0,178.0,160.0,37.08,3
153,CA-2017-169061,2017-03-05,0,10701.0,OFF-SU-10000381,0,14,Acme Forged Steel Scissors with Black Enamel Handles,19.0,2,0.0,5.0,9.5,26.32,3
154,CA-2017-169061,2017-03-05,0,10701.0,OFF-BI-10001617,0,3,GBC Wire Binding Combs,50.0,6,20.0,17.0,8.33,34.0,3
155,CA-2017-104563,2017-03-07,2,98103.0,FUR-CH-10004495,1,5,"Global Leather and Oak Executive Chair, Black",482.0,2,20.0,54.0,241.0,11.2,3
156,CA-2017-104563,2017-03-07,2,98103.0,FUR-CH-10002780,1,5,Office Star - Task Chair with Contemporary Loop Arms,437.0,6,20.0,22.0,72.83,5.03,3
157,CA-2017-104563,2017-03-07,2,98103.0,OFF-ST-10000934,0,2,"Contico 72""H Heavy-Duty Storage System",205.0,5,0.0,0.0,41.0,0.0,3
158,CA-2017-104563,2017-03-07,2,98103.0,OFF-AR-10000390,0,4,Newell Chalk Holder,21.0,5,0.0,9.0,4.2,42.86,3
159,CA-2017-156587,2017-03-07,0,98103.0,FUR-CH-10004477,1,5,"Global Push Button Manager's Chair, Indigo",49.0,1,20.0,5.0,49.0,10.2,3
160,US-2017-131982,2017-03-07,1,98198.0,OFF-BI-10004224,0,3,Catalog Binders with Expanding Posts,108.0,2,20.0,34.0,54.0,31.48,3
161,CA-2017-156587,2017-03-07,0,98103.0,OFF-AR-10001427,0,4,Newell 330,18.0,3,0.0,5.0,6.0,27.78,3
